"""{TAP""","""PARSE_RESULT""","""LATH""","""TRDSIM""","""VSLTT""","""AOSCDTIA""","""SDA""","""TRP""","""TRDTST""","""TRDARC""","""TRDDCR""","""TRDSAA""","""TRVH""","""TRV""","""MH""","""AOSTS""","""GTOD""","""GVRRE""","""AOSNTCAS""","""TRDCL""","""AOSARV""","""SIC""","""TRPHDEC""","""AOSTC""","""MSG_TYPE""","""GVA""","""SAC""","""SIL""","""VN""","""TSSS""","""MAM""","""TRVHFSI""","""TSLNAV""","""RP""","""TTA""","""GVR""","""GVRE""","""NACP""","""AOSSA""","""TSICF""","""TRDATP""","""NUCP""","""USE_SIZE""","""TRPH""","""NUCR""","""SI""","""TRDRAB""","""GBS""","""VSVNS""","""LONH""","""GH""","""TRVHDEC""","""TSPS""","""TRPHFSI""","""PIC""","""GS""","""RID""","""TA""","""AOSRA""","""ADDR""","""CS""","""TRDRC""","""ECAT""","""TN""","""SILS""","""NICB""","""LON""","""FL""","""LAT""","""SSR"""
0.0,0.0,46.8059152365,0.0,2.0,0.0,0.0,23963.7578,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23963.7578,0.0,0.0,0.0,0.0,16.0,0.7620394398,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,23963.7578,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23963.7620394398,0.0,34.0,0.0,1.0,0.0,89.5075303316,3075.0,0.0010054959,0.0,0.0,11.0,24.0091,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8060922623,0.0,2.0,0.0,0.0,23965.3203,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23965.3203,0.0,0.0,0.0,0.0,16.0,0.3229665598,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23965.3203,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23965.3229665598,0.0,34.0,0.0,1.0,0.0,89.5071011782,3075.0,0.0010054959,0.0,0.0,11.0,23.1952,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8061566353,0.0,2.0,0.0,0.0,23966.2578,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23966.2578,0.0,0.0,0.0,0.0,16.0,0.262000747,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23966.2578,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23966.262000747,0.0,34.0,0.0,1.0,0.0,89.5069134235,3075.0,0.0010054959,0.0,0.0,11.0,22.3813,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8061941862,0.0,2.0,0.0,0.0,23966.6797,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23966.6797,0.0,0.0,0.0,0.0,16.0,0.6818954647,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23966.6797,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23966.6818954647,0.0,34.0,0.0,1.0,0.0,89.5068061352,3075.0,0.0010054959,0.0,0.0,11.0,22.3813,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8066608906,0.0,2.0,0.0,0.0,23973.0781,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23973.0781,0.0,0.0,0.0,0.0,16.0,0.0824136715,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-76.0,0.0,0.0,0.0,23973.0781,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23973.0824136715,0.0,34.0,0.0,1.0,0.0,89.5056259632,3075.0,0.0010054959,0.0,0.0,11.0,22.3813,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8067789078,0.0,2.0,0.0,0.0,23974.5703,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23974.5703,0.0,0.0,0.0,0.0,16.0,0.5726985158,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,23974.5703,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23974.5726985158,0.0,34.0,0.0,1.0,0.0,89.5053309202,3075.0,0.0010054959,0.0,0.0,11.0,18.7189,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8068701029,0.0,2.0,0.0,0.0,23976.1953,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23976.1953,0.0,0.0,0.0,0.0,16.0,0.2023500949,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,23976.1953,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23976.2023500949,0.0,34.0,0.0,1.0,0.0,89.5050895214,3075.0,0.0010054959,0.0,0.0,11.0,15.8704,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.806896925,0.0,2.0,0.0,0.0,23976.7578,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23976.7578,0.0,0.0,0.0,0.0,16.0,0.7622909388,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,23976.7578,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23976.7622909388,0.0,34.0,0.0,1.0,0.0,89.5050144196,3075.0,0.0010054959,0.0,0.0,11.0,13.8357,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8069666624,0.0,2.0,0.0,0.0,23978.4375,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23978.4375,0.0,0.0,0.0,0.0,16.0,0.4424035391,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,23978.4375,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23978.4424035391,0.0,34.0,0.0,1.0,0.0,89.5048320293,3075.0,0.0010054959,0.0,0.0,11.0,17.4981,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.807090044,0.0,2.0,0.0,0.0,23981.8281,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23981.8281,0.0,0.0,0.0,0.0,16.0,0.8327425402,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,23981.8281,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23981.8327425402,0.0,34.0,0.0,1.0,0.0,89.5045262575,3075.0,0.0010054959,0.0,0.0,11.0,9.3595,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
