TRP=22091.0625, LON=90.28116, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.927116
TRP=22091.5391, LON=90.280259, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.928232
TRP=22091.9531, LON=90.279744, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.928962
TRP=22092.4531, LON=90.279164, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.929734
TRP=22093.0078, LON=90.278156, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.931172
TRP=22094.5078, LON=90.275924, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.934112
TRP=22095.8672, LON=90.274293, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.936343
TRP=22096.3984, LON=90.273414, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.937438
TRP=22097.2578, LON=90.272341, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.93894
TRP=22098.3594, LON=90.272019, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.939304
TRP=22099.3438, LON=90.270431, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.941472
TRP=22100.7578, LON=90.2685, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.944068
TRP=22101.1562, LON=90.26792, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.944798
TRP=22102.2266, LON=90.266654, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.946621
TRP=22102.6875, LON=90.265753, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.947737
TRP=22103.1484, LON=90.265174, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.948467
TRP=22103.6094, LON=90.264359, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.949604
TRP=22104.1641, LON=90.263565, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.950677
TRP=22105.0547, LON=90.262535, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.952115
TRP=22106.1484, LON=90.260882, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.954368
TRP=22107.0938, LON=90.259445, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.956192
TRP=22107.9531, LON=90.25835, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.957672
TRP=22108.9297, LON=90.256763, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.959861
TRP=22109.75, LON=90.255668, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.961341
TRP=22112.625, LON=90.251806, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.966448
TRP=22184.0469, LON=90.153916, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.097641
TRP=22185.0781, LON=90.152006, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.100258
TRP=22185.625, LON=90.151427, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.100988
TRP=22186.125, LON=90.150633, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.102061
TRP=22186.6094, LON=90.150118, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.102769
TRP=22187.1875, LON=90.14926, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.103928
TRP=22187.6094, LON=90.14868, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.104657
TRP=22188.0156, LON=90.148165, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.105387
TRP=22188.5781, LON=90.147371, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.106481
TRP=22189.5078, LON=90.145676, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.108734
TRP=22190.0859, LON=90.144882, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.109786
TRP=22190.5, LON=90.144346, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.110537
TRP=22190.9453, LON=90.143831, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.111245
TRP=22191.3516, LON=90.143251, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.111974
TRP=22191.8984, LON=90.14235, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.113111
TRP=22192.4141, LON=90.141835, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.113841
TRP=22192.8359, LON=90.141256, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.114592
TRP=22193.4062, LON=90.140505, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.115665
TRP=22193.8281, LON=90.141342, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.114592
TRP=22194.3594, LON=90.14044, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.115686
TRP=22194.9297, LON=90.139389, GH=33600, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.117146
TRP=22195.4844, LON=90.138509, GH=33575, GS=838.6901, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=44.118283
